LLAMA3-8B	GT	LLAMA3-8B-Article-model
CWE-662	CWE-122	CWE-662
CWE-78	CWE-122	CWE-78
CWE-76	CWE-59	CWE-76
CWE-267	CWE-284	CWE-267
CWE-269	CWE-693	CWE-269
CWE-264	CWE-121	CWE-264
CWE-120	CWE-693	CWE-120
CWE-20	CWE-693	CWE-20
CWE-776	CWE-284	CWE-776
CWE-284	CWE-190	CWE-284
CWE-331	CWE-121	CWE-331
CWE-691	CWE-121	CWE-691
CWE-693	CWE-122	CWE-693
CWE-415	CWE-122	CWE-415
CWE-611	CWE-121	CWE-611
CWE-672	CWE-190	CWE-672
CWE-94	CWE-121	CWE-94
CWE-675	CWE-191	CWE-675
CWE-94	CWE-190	CWE-94
CWE-94	CWE-122	CWE-94
CWE-78	CWE-191	CWE-78
CWE-78	CWE-121	CWE-78
CWE-22	CWE-122	CWE-22
CWE-74	CWE-190	CWE-74
CWE-78	CWE-122	CWE-78
CWE-20	CWE-125	CWE-20
CWE-665	CWE-209	CWE-665
CWE-78	CWE-121	CWE-78
CWE-121	CWE-122	CWE-121
CWE-77	CWE-122	CWE-122
CWE-77	CWE-190	CWE-77
CWE-95	CWE-122	CWE-95
CWE-89	CWE-197	CWE-89
CWE-732	CWE-191	CWE-732
CWE-78	CWE-400	CWE-400
CWE-399	CWE-121	CWE-121
CWE-121	CWE-416	CWE-121
CWE-416	CWE-121	CWE-121
CWE-120	CWE-284	CWE-120
CWE-398	CWE-256	CWE-398
CWE-259	CWE-200	CWE-259
CWE-200	CWE-502	CWE-200
CWE-502	CWE-284	CWE-502
CWE-284	CWE-284	CWE-284
CWE-284	CWE-284	CWE-284
CWE-285	CWE-284	CWE-285
CWE-284	CWE-284	CWE-284
CWE-284	CWE-78	CWE-284
CWE-78	CWE-787	CWE-787
CWE-787	CWE-256	CWE-787
CWE-521	CWE-327	CWE-521
CWE-326	CWE-79	CWE-326
CWE-80	CWE-326	CWE-80
CWE-326	CWE-20	CWE-326
CWE-22	CWE-20	CWE-22
CWE-22	CWE-284	CWE-22
CWE-284	CWE-79	CWE-284
CWE-79	CWE-121	CWE-79
CWE-121	CWE-776	CWE-776
CWE-611	CWE-79	CWE-611
CWE-78	CWE-79	CWE-78
CWE-693	CWE-121	CWE-693
CWE-121	CWE-287	CWE-121
CWE-22	CWE-22	CWE-22
CWE-22	CWE-22	CWE-22
CWE-22	CWE-89	CWE-22
CWE-89	CWE-362	CWE-89
CWE-362	CWE-121	CWE-121
CWE-121	CWE-79	CWE-121
CWE-79	CWE-89	CWE-79
CWE-94	CWE-79	CWE-94
CWE-601	CWE-79	CWE-79
CWE-80	CWE-290	CWE-80
CWE-20	CWE-918	CWE-20
CWE-352	CWE-20	CWE-352
CWE-275	CWE-121	CWE-275
CWE-121	CWE-611	CWE-121
CWE-611	CWE-259	CWE-259
CWE-798	CWE-121	CWE-121
CWE-120	CWE-122	CWE-122
CWE-120	CWE-94	CWE-120
CWE-89	CWE-669	CWE-89
CWE-352	CWE-352	CWE-352
CWE-352	CWE-121	CWE-352
CWE-122	CWE-639	CWE-122
CWE-306	CWE-1393	CWE-306
CWE-918	CWE-79	CWE-918
CWE-92	CWE-200	CWE-200
CWE-522	CWE-639	CWE-522
CWE-668	CWE-770	CWE-770
CWE-20	CWE-352	CWE-352
CWE-79	CWE-74	CWE-79
CWE-119	CWE-918	CWE-119
CWE-248	CWE-79	CWE-79
CWE-78	CWE-121	CWE-78
CWE-120	CWE-918	CWE-120
CWE-543	CWE-89	CWE-543
CWE-89	CWE-502	CWE-89
CWE-94	CWE-285	CWE-94
CWE-325	CWE-79	CWE-325
CWE-20	CWE-918	CWE-20
CWE-638	CWE-200	CWE-638
CWE-522	CWE-1394	CWE-522
CWE-798	CWE-1390	CWE-798
CWE-20	CWE-807	CWE-20
CWE-20	CWE-352	CWE-20
CWE-352	CWE-502	CWE-352
CWE-20	CWE-1286	CWE-20
CWE-601	CWE-20	CWE-601
CWE-393	CWE-416	CWE-393
CWE-78	CWE-122	CWE-78
CWE-78	CWE-121	CWE-78
CWE-732	CWE-122	CWE-732
CWE-829	CWE-122	CWE-829
CWE-78	CWE-122	CWE-78
CWE-78	CWE-79	CWE-78
CWE-473	CWE-732	CWE-732
CWE-248	CWE-197	CWE-197
CWE-78	CWE-269	CWE-78
CWE-657	CWE-22	CWE-657
CWE-89	CWE-284	CWE-89
CWE-269	CWE-284	CWE-269
CWE-269	CWE-327	CWE-269
CWE-269	CWE-357	CWE-269
CWE-659	CWE-209	CWE-209
CWE-200	CWE-862	CWE-200
CWE-285	CWE-284	CWE-285
CWE-269	CWE-787	CWE-269
CWE-330	CWE-367	CWE-367
CWE-1320	CWE-798	CWE-1320
CWE-200	CWE-130	CWE-200
CWE-400	CWE-367	CWE-367
CWE-20	CWE-20	CWE-20
CWE-22	CWE-610	CWE-22
CWE-23	CWE-79	CWE-23
CWE-80	CWE-613	CWE-613
CWE-345	CWE-295	CWE-345
CWE-346	CWE-829	CWE-346
CWE-20	CWE-20	CWE-20
CWE-20	CWE-770	CWE-20
CWE-119	CWE-79	CWE-79
CWE-80	CWE-78	CWE-80
CWE-78	CWE-918	CWE-78
CWE-918	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-352	CWE-80
CWE-352	CWE-79	CWE-352
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-78	CWE-80
CWE-78	CWE-434	CWE-78
CWE-434	CWE-79	CWE-434
CWE-80	CWE-79	CWE-80
CWE-116	CWE-79	CWE-116
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-352	CWE-80
CWE-352	CWE-79	CWE-352
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-79	CWE-1188	CWE-79
CWE-502	CWE-212	CWE-502
CWE-522	CWE-79	CWE-522
CWE-80	CWE-79	CWE-80
CWE-693	CWE-79	CWE-693
CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-367	CWE-80
CWE-675	CWE-79	CWE-675
CWE-80	CWE-787	CWE-80
CWE-787	CWE-787	CWE-787
CWE-126	CWE-79	CWE-126
CWE-80	CWE-434	CWE-80
CWE-434	CWE-502	CWE-434
CWE-502	CWE-79	CWE-502
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-79	CWE-29	CWE-79
CWE-22	CWE-79	CWE-22
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-367	CWE-80
CWE-287	CWE-284	CWE-287
CWE-285	CWE-269	CWE-269
CWE-264	CWE-400	CWE-400
CWE-284	CWE-122	CWE-284
CWE-121	CWE-89	CWE-89
CWE-89	CWE-122	CWE-89
CWE-119	CWE-122	CWE-119
CWE-119	CWE-122	CWE-122
CWE-121	CWE-122	CWE-121
CWE-122	CWE-121	CWE-122
CWE-121	CWE-122	CWE-121
CWE121	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-73	CWE-89
CWE-22	CWE-798	CWE-22
CWE-798	CWE-918	CWE-798
CWE-918	CWE-89	CWE-918
CWE-89	CWE-327	CWE-89
CWE-329	CWE-788	CWE-788
CWE-120	CWE-532	CWE-120
CWE-521	CWE-94	CWE-521
CWE-94	CWE-79	CWE-94
CWE-94	CWE-22	CWE-22
CWE-22	CWE-639	CWE-22
CWE-269	CWE-79	CWE-269
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-78	CWE-80
CWE-78	CWE-400	CWE-78
CWE-20	CWE-732	CWE-732
CWE-22	CWE-59	CWE-22
CWE-269	CWE-78	CWE-269
CWE-666	CWE-918	CWE-666
CWE-20	CWE-79	CWE-20
CWE-80	CWE-352	CWE-80
CWE-78	CWE-79	CWE-78
CWE-80	CWE-639	CWE-80
CWE-20	CWE-120	CWE-20
CWE-120	CWE-22	CWE-120
CWE-79	CWE-200	CWE-79
CWE-248	CWE-200	CWE-248
CWE-284	CWE-1220	CWE-1220
CWE-347	CWE-94	CWE-347
CWE-20	CWE-94	CWE-20
CWE-1136	CWE-79	CWE-1136
CWE-80	CWE-122	CWE-80
CWE-120	CWE-703	CWE-120
CWE-899	CWE-284	CWE-899
CWE-306	CWE-284	CWE-306
CWE-925	CWE-521	CWE-925
CWE-221	CWE-269	CWE-221
CWE-276	CWE-502	CWE-276
CWE-20	CWE-284	CWE-20
CWE-306	CWE-79	CWE-306
CWE-80	CWE-787	CWE-80
CWE-787	CWE-125	CWE-787
CWE-125	CWE-79	CWE-125
CWE-80	CWE-284	CWE-284
CWE-285	CWE-89	CWE-285
CWE-89	CWE-862	CWE-89
CWE-285	CWE-862	CWE-285
CWE-284	CWE-89	CWE-284
CWE-89	CWE-129	CWE-89
CWE-126	CWE-89	CWE-126
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-862	CWE-89
CWE-285	CWE-862	CWE-285
CWE-285	CWE-120	CWE-285
CWE-122	CWE-79	CWE-122
CWE-80	CWE-89	CWE-80
CWE-89	CWE-434	CWE-89
CWE-500	CWE-89	CWE-89
CWE-89	CWE-79	CWE-79
CWE-80	CWE-29	CWE-29
CWE-22	CWE-119	CWE-22
CWE-676	CWE-200	CWE-676
CWE-798	CWE-286	CWE-798
CWE-613	CWE-434	CWE-613
CWE-434	CWE-89	CWE-434
CWE-89	CWE-89	CWE-89
CWE-89	CWE-79	CWE-89
CWE-80	CWE-918	CWE-918
CWE-918	CWE-89	CWE-918
CWE-89	CWE-89	CWE-89
CWE-89	CWE-352	CWE-89
CWE-352	CWE-89	CWE-352
CWE-89	CWE-79	CWE-89
CWE-80	CWE-77	CWE-80
CWE-78	CWE-79	CWE-78
CWE-79	CWE-89	CWE-89
CWE-89	CWE-200	CWE-89
CWE-639	CWE-79	CWE-639
CWE-80	CWE-79	CWE-80
CWE-80	CWE-200	CWE-80
CWE-200	CWE-613	CWE-200
CWE-185	CWE-89	CWE-185
CWE-89	CWE-277	CWE-89
CWE-264	CWE-89	CWE-264
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-119	CWE-89	CWE-119
CWE-89	CWE-229	CWE-89
CWE-833	CWE-26	CWE-833
CWE-22	CWE-77	CWE-22
CWE-78	CWE-79	CWE-78
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-352	CWE-79
CWE-352	CWE-94	CWE-352
CWE-78	CWE-787	CWE-78
CWE-122	CWE-787	CWE-122
CWE-122	CWE-352	CWE-122
CWE-352	CWE-693	CWE-352
CWE-134	CWE-489	CWE-489
CWE-22	CWE-94	CWE-22
CWE-264	CWE-76	CWE-264
CWE-93	CWE-762	CWE-93
CWE-400	CWE-787	CWE-787
CWE-120	CWE-400	CWE-120
CWE-22	CWE-1321	CWE-22
CWE-94	CWE-79	CWE-94
CWE-80	CWE-434	CWE-80
CWE-94	CWE-269	CWE-94
CWE-89	CWE-352	CWE-89
CWE-352	CWE-97	CWE-352
CWE-94	CWE-787	CWE-94
CWE-126	CWE-288	CWE-126
CWE-306	CWE-89	CWE-306
CWE-89	CWE-295	CWE-89
CWE-295	CWE-281	CWE-295
CWE-352	CWE-918	CWE-352
CWE-96	CWE-77	CWE-77
CWE-78	CWE-787	CWE-78
CWE-120	CWE-908	CWE-908
CWE-665	CWE-280	CWE-280
CWE-592	CWE-1223	CWE-592
CWE-362	CWE-79	CWE-362
CWE-80	CWE-79	CWE-79
CWE-80	CWE-121	CWE-121
CWE-119	CWE-79	CWE-119
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-116	CWE-79	CWE-116
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-121	CWE-80
CWE-120	CWE-79	CWE-120
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-352	CWE-80
CWE-352	CWE-79	CWE-352
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-125	CWE-80
CWE-125	CWE-121	CWE-125
CWE-120	CWE-908	CWE-120
CWE-327	CWE-125	CWE-327
CWE-125	CWE-190	CWE-125
CWE-120	CWE-908	CWE-120
CWE-665	CWE-787	CWE-665
CWE-787	CWE-416	CWE-787
CWE-416	CWE-79	CWE-416
CWE-80	CWE-79	CWE-79
CWE-80	CWE-121	CWE-80
CWE-121	CWE-79	CWE-121
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-96	CWE-79	CWE-96
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-121	CWE-80
CWE-120	CWE-502	CWE-120
CWE-502	CWE-79	CWE-502
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-121	CWE-80
CWE-120	CWE-79	CWE-120
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-94	CWE-79	CWE-94
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-92	CWE-77	CWE-92
CWE-78	CWE-79	CWE-79
CWE-80	CWE-89	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-200	CWE-89	CWE-200
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-694	CWE-121	CWE-694
CWE-119	CWE-89	CWE-119
CWE-89	CWE-79	CWE-89
CWE-89	CWE-79	CWE-89
CWE-80	CWE-863	CWE-80
CWE-269	CWE-284	CWE-269
CWE-285	CWE-284	CWE-285
CWE-306	CWE-457	CWE-457
CWE-20	CWE-200	CWE-20
CWE-285	CWE-121	CWE-285
CWE-120	CWE-284	CWE-120
CWE-287	CWE-200	CWE-287
CWE-284	CWE-200	CWE-284
CWE-284	CWE-284	CWE-284
CWE-285	CWE-1392	CWE-285
CWE-264	CWE-89	CWE-264
CWE-89	CWE-434	CWE-89
CWE-78	CWE-287	CWE-287
CWE-287	CWE-121	CWE-287
CWE-121	CWE-294	CWE-121
CWE-623	CWE-280	CWE-623
CWE-208	CWE-288	CWE-288
CWE-287	CWE-616	CWE-287
CWE-22	CWE-434	CWE-22
CWE-22	CWE-121	CWE-22
CWE-121	CWE-284	CWE-121
CWE-209	CWE-338	CWE-209
CWE-330	CWE-121	CWE-330
CWE-120	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE89	CWE-89	CWE89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-79	CWE-89
CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-79	CWE-121	CWE-79
CWE-121	CWE-749	CWE-121
CWE-264	CWE-79	CWE-264
CWE-80	CWE-79	CWE-80
CWE-80	CWE-200	CWE-80
CWE-319	CWE-200	CWE-200
CWE-285	CWE-916	CWE-285
CWE-521	CWE-295	CWE-521
CWE-310	CWE-359	CWE-359
CWE-908	CWE-89	CWE-908
CWE-89	CWE-121	CWE-121
CWE-120	CWE-79	CWE-120
CWE-94	CWE-434	CWE-94
CWE-20	CWE-863	CWE-20
CWE-20	CWE-400	CWE-400
CWE-400	CWE-116	CWE-116
CWE-80	CWE-77	CWE-80
CWE-78	CWE-74	CWE-74
CWE-20	CWE-200	CWE-20
CWE-269	CWE-200	CWE-269
CWE-579	CWE-121	CWE-579
CWE-120	CWE-402	CWE-120
CWE-120	CWE-294	CWE-120
CWE-384	CWE-770	CWE-770
CWE-119	CWE-770	CWE-119
CWE-400	CWE-835	CWE-400
CWE-400	CWE-668	CWE-668
CWE-306	CWE-79	CWE-306
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-77	CWE-80
CWE-78	CWE-79	CWE-78
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-407	CWE-407
CWE-534	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-121	CWE-80
CWE-121	CWE-79	CWE-121
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-121	CWE-80
CWE-121	CWE-79	CWE-121
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-92	CWE-79	CWE-92
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-121	CWE-80
CWE-121	CWE-522	CWE-121
CWE-522	CWE-532	CWE-522
CWE-319	CWE-77	CWE-319
CWE-200	CWE-404	CWE-200
CWE-611	CWE-326	CWE-611
CWE-327	CWE-326	CWE-327
CWE-328	CWE-312	CWE-328
CWE-521	CWE-922	CWE-521
CWE-284	CWE-532	CWE-532
CWE-522	CWE-532	CWE-522
CWE-317	CWE-312	CWE-317
CWE-214	CWE-532	CWE-214
CWE-319	CWE-532	CWE-319
CWE-532	CWE-532	CWE-532
CWE-321	CWE-79	CWE-321
CWE-79	CWE-798	CWE-79
CWE-295	CWE-200	CWE-295
CWE-200	CWE-276	CWE-200
CWE-78	CWE-798	CWE-78
CWE-321	CWE-200	CWE-321
CWE-270	CWE-922	CWE-270
CWE-522	CWE-798	CWE-522
CWE-798	CWE-276	CWE-798
CWE-259	CWE-200	CWE-259
CWE-NotFound	CWE-326	CWE-NotFound
CWE-327	CWE-79	CWE-327
CWE-80	CWE-78	CWE-80
CWE-78	CWE-78	CWE-78
CWE-78	CWE-434	CWE-78
CWE-119	CWE-269	CWE-119
CWE-263	CWE-269	CWE-263
CWE-269	CWE-284	CWE-269
CWE-20	CWE-79	CWE-20
CWE-79	CWE-1021	CWE-79
CWE-384	CWE-122	CWE-384
CWE-78	CWE-122	CWE-78
CWE-754	CWE-122	CWE-122
CWE-434	CWE-122	CWE-434
CWE-76	CWE-359	CWE-76
CWE-200	CWE-200	CWE-200
CWE-200	CWE-693	CWE-200
CWE-345	CWE-59	CWE-345
CWE-269	CWE-89	CWE-89
CWE-89	CWE-284	CWE-89
CWE-264	CWE-94	CWE-264
CWE-306	CWE-522	CWE-306
CWE-200	CWE-284	CWE-200
CWE-285	CWE-125	CWE-285
CWE-264	CWE-125	CWE-125
CWE-269	CWE-190	CWE-269
CWE-643	CWE-20	CWE-20
CWE-265	CWE-190	CWE-190
CWE-94	CWE-89	CWE-94
CWE-89	CWE-190	CWE-89
CWE-78	CWE-190	CWE-78
CWE-264	CWE-20	CWE-264
CWE-120	CWE-190	CWE-120
CWE-306	CWE-190	CWE-306
CWE-264	CWE-190	CWE-264
CWE-264	CWE-416	CWE-264
CWE-94	CWE-269	CWE-94
CWE-269	CWE-191	CWE-269
CWE-200	CWE-197	CWE-200
CWE-89	CWE-89	CWE-89
CWE-89	CWE-23	CWE-89
CWE-269	CWE-191	CWE-269
CWE-400	CWE-190	CWE-400
CWE-264	CWE-415	CWE-264
CWE-623	CWE-197	CWE-197
CWE-264	CWE-197	CWE-264
CWE-264	CWE-125	CWE-125
CWE-200	CWE-122	CWE-200
CWE-264	CWE-59	CWE-264
CWE-269	CWE-400	CWE-269
CWE-400	CWE-89	CWE-400
CWE-89	CWE-122	CWE-89
CWE-78	CWE-190	CWE-78
CWE-264	CWE-197	CWE-264
CWE-264	CWE-197	CWE-197
CWE-665	CWE-197	CWE-665
CWE-78	CWE-125	CWE-78
CWE-264	CWE-415	CWE-264
CWE-269	CWE-416	CWE-269
CWE-610	CWE-197	CWE-610
CWE-269	CWE-89	CWE-269
CWE-89	CWE-476	CWE-89
CWE-233	CWE-416	CWE-233
CWE-269	CWE-416	CWE-269
CWE-264	CWE-59	CWE-264
CWE-264	CWE-843	CWE-264
CWE-200	CWE-416	CWE-200
CWE-243	CWE-41	CWE-243
CWE-200	CWE-125	CWE-200
CWE-269	CWE-122	CWE-269
CWE-672	CWE-126	CWE-672
CWE-200	CWE-79	CWE-200
CWE-80	CWE-20	CWE-80
CWE-557	CWE-693	CWE-557
CWE-352	CWE-502	CWE-502
CWE-20	CWE-611	CWE-20
CWE-200	CWE-502	CWE-200
CWE-78	CWE-122	CWE-122
CWE-94	CWE-362	CWE-94
CWE-400	CWE-79	CWE-400
CWE-527	CWE-79	CWE-527
CWE-384	CWE-416	CWE-384
CWE-662	CWE-693	CWE-662
CWE-340	CWE-787	CWE-340
CWE-269	CWE-693	CWE-269
CWE-94	CWE-79	CWE-94
CWE-80	CWE-20	CWE-20
CWE-200	CWE-451	CWE-200
CWE-384	CWE-359	CWE-384
CWE200	CWE-356	CWE200
CWE-476	CWE-357	CWE-476
CWE-384	CWE-284	CWE-384
CWE-732	CWE-121	CWE-732
CWE-120	CWE-59	CWE-120
CWE-269	CWE-285	CWE-269
CWE-259	CWE-416	CWE-259
CWE-611	CWE-641	CWE-611
CWE-264	CWE-190	CWE-264
CWE-269	CWE-59	CWE-269
CWE-524	CWE-122	CWE-122
CWE-269	CWE-190	CWE-269
CWE-269	CWE-125	CWE-269
CWE-240	CWE-125	CWE-240
CWE-200	CWE-121	CWE-200
CWE-121	CWE-191	CWE-121
CWE-400	CWE-126	CWE-400
CWE-200	CWE-190	CWE-190
CWE-76	CWE-122	CWE-76
CWE-601	CWE-122	CWE-601
CWE-269	CWE-59	CWE-269
CWE-269	CWE-122	CWE-269
CWE-269	CWE-20	CWE-269
CWE-787	CWE-126	CWE-787
CWE-269	CWE-121	CWE-269
CWE-120	CWE-416	CWE-120
CWE-20	CWE-200	CWE-20
CWE-306	CWE-416	CWE-306
CWE-269	CWE-121	CWE-269
CWE-400	CWE-367	CWE-400
CWE-269	CWE-122	CWE-269
CWE-269	CWE-416	CWE-269
CWE-269	CWE-20	CWE-269
CWE-269	CWE-367	CWE-269
CWE-249	CWE-416	CWE-249
CWE-269	CWE-77	CWE-269
CWE-78	CWE-119	CWE-78
CWE-259	CWE-122	CWE-122
CWE-287	CWE-59	CWE-287
CWE-269	CWE-122	CWE-269
CWE-20	CWE-787	CWE-20
CWE-78	CWE-200	CWE-78
CWE-200	CWE-415	CWE-200
CWE-78	CWE-327	CWE-78
CWE-250	CWE-367	CWE-250
CWE-269	CWE-121	CWE-269
CWE-122	CWE-426	CWE-122
CWE-787	CWE-416	CWE-787
CWE-94	CWE-416	CWE-94
CWE-505	CWE-184	CWE-505
CWE-78	CWE-59	CWE-59
CWE-94	CWE-400	CWE-94
CWE-400	CWE-284	CWE-400
CWE-285	CWE-1021	CWE-285
CWE-601	CWE-121	CWE-601
CWE-121	CWE-20	CWE-121
CWE-20	CWE-1326	CWE-1326
CWE-484	CWE-326	CWE-484
CWE-644	CWE-121	CWE-644
CWE-120	CWE-563	CWE-120
CWE-74	CWE-285	CWE-74
CWE-285	CWE-525	CWE-285
CWE-522	CWE-200	CWE-522
CWE-522	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-912	CWE-89
CWE-264	CWE-345	CWE-264
CWE-434	CWE-120	CWE-434
CWE-119	CWE-120	CWE-119
CWE-120	CWE-121	CWE-120
CWE-416	CWE-119	CWE-416
CWE-805	CWE-79	CWE-805
CWE-80	CWE-79	CWE-79
CWE-116	CWE-79	CWE-116
CWE-80	CWE-79	CWE-80
CWE-92	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-290	CWE-80
CWE-119	CWE-668	CWE-119
CWE-269	CWE-290	CWE-269
CWE-306	CWE-290	CWE-290
CWE-325	CWE-79	CWE-325
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-691	CWE-79	CWE-691
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-494	CWE-79
CWE-22	CWE-321	CWE-22
CWE-327	CWE-732	CWE-732
CWE-284	CWE-319	CWE-284
CWE-311	CWE-1392	CWE-311
CWE-284	CWE-190	CWE-284
CWE-249	CWE-77	CWE-77
CWE-88	CWE-79	CWE-88
CWE-92	CWE-79	CWE-92
CWE-665	CWE-862	CWE-665
CWE-749	CWE-862	CWE-749
CWE-285	CWE-400	CWE-400
CWE-400	CWE-78	CWE-400
CWE-78	CWE-502	CWE-78
CWE-502	CWE-502	CWE-502
CWE-502	CWE-502	CWE-502
CWE-502	CWE-502	CWE-502
CWE-502	CWE-502	CWE-502
CWE-502	CWE-502	CWE-502
CWE-20	CWE-502	CWE-20
CWE-502	CWE-502	CWE-502
CWE-502	CWE-502	CWE-502
CWE-476	CWE-502	CWE-476
CWE-502	CWE-434	CWE-502
CWE-434	CWE-79	CWE-434
CWE-80	CWE-200	CWE-80
CWE-200	CWE-862	CWE-200
CWE-285	CWE-862	CWE-285
CWE-285	CWE-89	CWE-285
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-122	CWE-122
CWE-122	CWE-89	CWE-122
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-670	CWE-89
CWE-287	CWE-78	CWE-287
CWE-78	CWE-79	CWE-78
CWE-22	CWE-770	CWE-22
CWE-400	CWE-23	CWE-400
CWE-22	CWE-345	CWE-22
CWE-20	CWE-835	CWE-20
CWE-476	CWE-352	CWE-476
CWE-352	CWE-119	CWE-352
CWE-400	CWE-22	CWE-400
CWE-22	CWE-390	CWE-22
CWE-20	CWE-918	CWE-20
