Question	Option A	Option B	Option C	Option D	GT
"What is the impact of choosing ""Allow only while using the app"" on Android 11?"	Allows background location collection	Prohibits background location collection	Required for all geofencing use cases	Only applicable to iOS devices	B
What is the benefit of using geofencing to limit malware spread and/or capabilities?	It makes malware detection easier	It allows malware to evade application analysis environments	It helps to prevent exposure of capabilities in environments that are not intended to be compromised	It requires additional permissions	C
What permission is required for an Android application to use the built-in Geofencing API on devices with Android 10 (API level 29) or higher?	ACCESS_COARSE_LOCATION	ACCESS_FINE_LOCATION	ACCESS_BACKGROUND_LOCATION	Both B and C	D
What is the primary purpose of ARP cache poisoning?	Enable Network Segmentation	Intercept Network Traffic	Ensure Network Authentication	Prevent IP Address Spoofing	B
Which of the following techniques may be used by adversaries after ARP cache poisoning?	Data Exfiltration	Network Sniffing	Transmitted Data Manipulation	Device Compromise	B
Why is ARP cache poisoning possible on a device's ARP cache?	Due to Authentication Requirement	Due to Malware Infection	Because ARP Protocol is Stateless	Due to Firewall Configuration	C
What is the required condition for an adversary to poison a device's ARP cache?	Their ARP Reply must be Slower than the Legitimate One	Their ARP Reply must be Faster than the Legitimate One	Their ARP Reply must be Authenticated and Signed	Their ARP Reply must be Announced to All Devices	B
What data may adversaries collect and/or relay using ARP cache poisoning?	HTTP Traffic	Credentials over Unencrypted Protocols	DNS Queries	SSH Logs	B
What type of event-based system mechanism can adversaries use to establish persistence on a mobile device?	Scheduled tasks	System-wide intent registration	Device state changes	Network connection establishment	B
How do Android applications typically register to receive broadcast intents?	Through system components	At runtime or through the manifest	Only through system components	Only through runtime registration	B
What changed in Android 8 (API level 26) regarding broadcast intent behavior?	Implicit intents are now required for all apps	Applications can no longer register for implicit intents in the manifest	Broadcast intents are now limited to specific applications	Broadcast intents are now only triggered by system components	B
Which of the following is a characteristic of malware behavior when responding to broadcast intents?	It triggers actions based on all broadcast intents	It responds to actions in other applications	It only triggers actions based on device state changes	It does not respond to broadcast intents at all	B
What type of intent is typically used by malicious applications to respond to actions in other applications?	System intent	Broadcast intent	Intent filter	Context-aware intent	B
What is the purpose of the .nomedia file on an Android device?	To hide sensitive files from the user	To provide a secure way to share files	To exclude a folder from multimedia file scanning	To cache frequently accessed files	C
What type of applications often use the .nomedia file technique to hide files?	Email clients	Chatbots	Stalkerware and spyware	Mobile banking apps	C
What is the consequence of having a .nomedia file in a folder on an Android device?	The folder becomes noticeable in the Gallery application	The folder is automatically deleted	The folder appears invisible to the user in the Gallery application	The folder is no longer accessible	C
Which Android application ignores folders with a .nomedia file?	File Manager	Gallery	Android System	None of the above	B
What is the potential advantage of an adversary using the .nomedia file technique?	Easier file exfiltration	Improved file encryption	Enhanced file obfuscation	Increased file detection	A
What is the primary goal of an adversary when inserting, deleting, or altering data in a system?	To eliminate all traces of malicious activity	To manipulate external outcomes or hide activity	To disrupt system functionality	To gain unauthorized access to sensitive data	B
What type of software would an adversary typically need to have the desired impact on a complex system?	Specialized software related to the system	Prolonged information gathering campaign	Malware	Exploitation framework	A
What is the impact on a business process, organizational understanding, or decision making that an adversary may attempt to affect by manipulating data?	Disruption of system functionality	Exposure of sensitive data	Manipulation of external outcomes or hiding of activity	Enhanced system security	C
What is the primary requirement for an adversary to have the desired impact on a complex system?	Specialized expertise	Advanced hacking tools	Physical access	Network access	A
Which technique does the provided text describe as a method used to evade static analysis checks and pre-publication scans in official app stores?	T1072 - Custom Command and Control	T1086 - Execution Through API	T1005 - Remote File Copy	T1204 - User Execution	B
What type of code could be considered as dynamic code on Android platforms?	Native code only	Java bytecode only	Native, Dalvik, or JavaScript code	Only JavaScript code	C
According to the text, what is a potential challenge in detecting malicious code downloaded after installation in conjunction with Execution Guardrails techniques?	Static analysis becomes more accurate	Dynamic analysis becomes more effective	Detection through Execution Guardrails becomes difficult	Behavioral analysis becomes more reliable	C
Which type of 3rd party library could be used to execute dynamic code on iOS platforms?	Fabric	Crashlytics	JSPatch	Xcode	C
What is the primary reason why adversaries might use this technique?	To gain access to sensitive information	To evade static analysis checks and detection	To execute malicious code on target systems	To communicate with command and control servers	B
What is a common goal of adversaries when generating outbound traffic from devices?	To exploit vulnerabilities in the device's operating system	To manipulate external outcomes, such as achieve carrier billing fraud or manipulate app store rankings or ratings	To inject malware into the device's memory	To collect sensitive user information	B
What is a typical form of outbound traffic generated by adversaries?	Inbound HTTP requests	Inbound FTP connections	Outbound SMS messages or general web traffic	Local file system reads	C
What permission is required for an Android app to send an SMS message to a non-premium number?	RECEIVE_SMS	SEND_SMS	READ_CONTACTS	WRITE_EXTERNAL_STORAGE	B
What is a requirement for sending an SMS message to a premium number?	The recipient must be a subscriber to the same carrier	The sender must have the SEND_SMS permission	The recipient must have given user consent	The sender must be a registered business	C
On which platform can applications send SMS messages without restrictions, as per the provided text?	Android	iOS	Windows	Enterprise	A
What is used to conceal command and control traffic by adversaries, as opposed to relying on inherent protections provided by a communication protocol?	Symmetric Cryptography	Asymmetric Encryption Algorithm	Elliptic Curve Cryptography	Public Key Infrastructure	B
What type of cryptography uses a keypair per party: one public that can be freely distributed, and one private that should not be distributed?	Hash-Based Signature	Asymmetric Cryptography	Secret Key Cryptography	Message Authentication Code	B
Which of the following statements about asymmetric cryptography is true?	The sender encrypts data with the receiver’s private key	The sender encrypts data with the receiver’s public key	The receiver encrypts data with the sender’s private key	The receiver encrypts data with the sender’s public key	B
Which public key encryption algorithms are mentioned in the text?	RSA, ECC, and MD5	RSA, ElGamal, and ECDSA	RSA, ECDSA, and Diffie-Hellman	RSA, ElGamal, and SHA	B
What is the correct classification of protocols that use asymmetric cryptography to establish or transmit a key, but symmetric cryptography once a connection is established?	Symmetric Cryptography	Asymmetric Cryptography	Elliptic Curve Cryptography	Public Key Infrastructure	B
What is the primary objective of System Information Discovery, as described in the given text?	Identifying vulnerable devices on a network	Gathering detailed information about a device's operating system and hardware	Enumerating network shares and files	Scanning for open ports and services	B
According to the text, what is programmatically accessible to applications on an Android device?	Device model and iOS version	Device model and Android version	Device architecture and patches	Only device model	B
What is unique about the information accessible to applications on an iOS device compared to an Android device?	iOS provides more detailed information than Android	iOS provides less restrictive access to information than Android	iOS is more restrictive with what information is visible to applications	iOS does not provide any device-specific information	C
How might an adversary use information gathered during System Information Discovery?	To launch a full-scale malware attack on the target device	To shape follow-on behaviors and determine whether or not to infect the target	To scan for open ports on the target network	To execute a command and control operation	B
According to MITRE ATT&CK, which technique is described in the provided text?	T1005 - System Network Configuration Discovery	T1016 - System Information Discovery	T1047 - Network Service Scanning	T1074 - Windows Admin Shares	B
In the context of command and control infrastructure, what is the purpose of dynamically establishing connections to evade common detections and remediations?	To reduce network traffic volume	To impersonate legitimate network activity	To avoid detection by using a common algorithm with the adversary's infrastructure	To increase data transfer rates	C
According to the text, what is the common algorithm that can be used to dynamically adjust parameters for command and control connections?	DNS tunneling	Domain Name System (DNS) spoofing	Use of a shared encryption key	A random number generator	C
"MITRE ATT&CK Technique: T1219 - Pattern: ""[Network Service Scanning]"""	Network Service Discovery	Port Scanning	Service Identification	Network Vulnerability Scanning	A
What is the primary goal of adversaries when using malware with a shared algorithm with the command and control infrastructure?	To spread the malware to other devices	To gather sensitive information about the target network	To evade common detections and remediations	To create backdoors for future access	C
"MITRE ATT&CK Technique: T1535 - Pattern: ""Use of HTTP C2 protocol"""	Domain Fronting	HTTP C2	DNS Tunneling	Web Shell	B
Which mobile operating system feature could an adversary potentially use to hide an application's launcher icon?	App permissions management	Artifact hiding via APIs	Secure boot mechanism	Mobile sandboxing	B
What is the primary method used by an adversary to track the location of mobile devices managed by cloud services?	Leveraging vulnerabilities in the cloud service's authentication protocol	Utilizing access to cloud services (e.g. Google's Android Device Manager or Apple iCloud's Find my iPhone)	Exploiting weak points in the mobile device's GPS system	Conducting a phishing attack on the mobile device user	B
What type of server console can an adversary use to track the location of mobile devices managed by a cloud service?	Database Management System (DBMS) console	Mobile Device Management (MDM) server console	Network Operations Center (NOC) console	Public Key Infrastructure (PKI) console	B
According to the text, which of the following is NOT a means by which an adversary can obtain location tracking capabilities?	Access to cloud services (e.g. Google's Android Device Manager or Apple iCloud's Find my iPhone)	Access to an enterprise mobility management (EMM)/mobile device management (MDM) server console	Implementing a malicious mobile app	Hacking a cellular network	D
What is the primary purpose of using cloud services or EMM/MDM server consoles to track the location of mobile devices managed by the service?	To conduct reconnaissance on potential targets	To track the location of mobile devices managed by the service	To execute a privilege escalation attack	To conduct a port scanning attack	B
Which MITRE ATT&CK technique ID and name could be used to describe an adversary modifying components of a victim environment to hinder or disable defensive mechanisms?	T1083 – File and Directory Discovery	T1158 – Event Logging for Defense Evasion	T1046 – Network Service Scanning	T1218 – Registry Run Keys / Startup Programs	D
What type of defensive mechanisms could an adversary potentially impair or disable by maliciously modifying components of a victim environment?	Supplementary detection capabilities	Native preventative defenses	Intelligence gathering tools	Both native preventative defenses and supplementary detection capabilities	D
According to the provided text, what types of defenses can an adversary potentially disable or impair by modifying components of a victim environment?	Only native defenses	Only supplementary detection capabilities	Both native defenses and supplementary detection capabilities	Intelligence gathering tools	C
What is an example of a capability that an adversary may target to disable or impair, according to the provided text?	Anti-virus software	Firewall configurations	Network segmentation policies	Mobile endpoint administrators	A
What MITRE ATT&CK platform would be most relevant for this scenario, given the context of modifying components of a victim environment to hinder or disable defensive mechanisms?	Enterprise	ICS	Mobile	All of the above	A
What is the primary goal for an adversary who achieves lateral movement through exploiting remote services?	To gain access to a remote system and exploit vulnerabilities.	To escalate privileges and gain control of the remote system.	To identify vulnerable software and patches on the network.	To establish a VPN connection to the internal network.	A
Adversaries may exploit remote services by taking advantage of a mobile device's access to an internal enterprise network through which connectivity feature?	Ethernet	Wi-Fi	Local connectivity	Bluetooth	C
According to the text, what is a common method an adversary may use to determine if a remote system is in a vulnerable state?	Network Service Scanning	Endpoint Scanning	Discovery methods	Privilege Escalation	A
Which systems are likely a high-value target for lateral movement exploitation, according to the text?	Endpoints	Servers	Both endpoints and servers	Network devices	B
What is an outcome of lateral movement exploitation that an adversary may achieve, depending on the permissions level of the vulnerable remote service?	Privilege Escalation	Data Exfiltration	Code Execution	Network Discovery	A
What is a potential strategy used by adversaries to prevent the user from uninstalling a target application on Android devices?	Utilizing the Android device administration API to disable the uninstall feature	Abusing the device accessibility APIs to monitor screen input and inject malicious actions	Injecting malware via Android's package manager to tamper with app removal	Leveraging the AccessibilityService to intercept and block uninstallation requests	B
Which API call allows an application to programmatically determine what is being shown on the screen and potentially prevent removal of the malicious application?	performGlobalAction(int)	screenSimulate(int)	displayClear(int)	accessibilityScan(int)	A
What is the potential consequence of passing the integer argument 1 or GLOBAL_ACTION_BACK to the Android's performGlobalAction(int) API?	The malicious application will be placed in the device's recycle bin	The user will be directed to the home screen from the settings screen	The malicious application will emulate a back press event	The device will restart and the application will be terminated	C
Why did Android update the device administration API to allow users to deactivate and uninstall the administrator application in one step?	To reduce the complexity of the uninstallation process for users	To prevent malicious applications from abusing the API	To simplify the development process for administrators	To improve the overall security posture of Android devices	A
Which of the following Android APIs is used to perform certain actions on behalf of the user, potentially allowing a malicious application to prevent removal?	Android's Accessibility API	Device administration API	Security API	Network API	A
What is the primary purpose of adversaries employing alternate protocols for exfiltrating data, according to the given text?	To maintain anonymity and avoid detection	To increase the speed of data transfer	To add an extra layer of authenticity verification	To conceal communication from main command and control server	D
What is a common technique used by adversaries to hijack the execution flow of operating systems?	T1078 - Account Discovery	T1212 - Exploit Public-Facing Application	T1140 - Deobfuscate/Decode Files or Information	T1145 - Execution Followed by Persistence	D
According to the text, what can be intercepted by an adversary to persist on a system?	Network traffic	System configuration	Program libraries	Passwords	C
What can an adversary manipulate to hijack the flow of execution?	System files	Program locations	Resource permissions	Execution queues	B
What is the purpose of manipulating the operating system's way of locating programs to be executed?	Elevation of privileges	Bypassing security controls	Persistence	Data theft	C
Where could an adversary poison locations to include malicious payloads?	Memory	File directories	Registry	Cookies	B
What permission would an application need to request location access even when running in the background on an Android device running Android 10 or later?	ACCESS_FINE_LOCATION	ACCESS_COARSE_LOCATION	ACCESS_BACKGROUND_LOCATION	ACCESS_LOCATION_WHEN_IN_USE	C
Which of the following keys is required for an iOS application to request access to location information when the application is in use?	NSLocationAlwaysUsageDescription	NSLocationAlwaysAndWhenInUseUsageDescription	NSLocationWhenInUseUsageDescription	com.apple.locationd.preauthorized	C
What technique would an adversary use to retrieve geographical location once location access permissions have been obtained, as described in the provided text?	T1115 - Spearphishing Attachments	T1021 - Remote Services	TA0003 - Command and Control	T1030 - Application Side-Channel	D
On what operating system would an application need to call requestAlwaysAuthorization() to request access to location information regardless of whether the application is in use?	Android	iOS	macOS	Linux	B
What entitlement key would an adversary need with elevated privileges to access location data without explicit user consent on an iOS device?	com.apple.locationd.preauthorized	NSLocationWhenInUseUsageDescription	NSLocationAlwaysAndWhenInUseUsageDescription	NSLocationAlwaysUsageDescription	A
An adversary may use the startForeground() API method to maintain continuous access to Android device sensors by making their application appear as what to the user?	A legitimate system process	A legitimate user-installed application	A notification that informs the user the application is running in the foreground	A fake application pretending to be a genuine app	D
What is the primary purpose of showing a persistent notification to the Android system when using the startForeground() API method?	To protect the application from being killed by the low memory killer	To inform the user that the application is running in the foreground	To request permission to access device sensors	To trigger the Android system to grant idle application access	B
According to the provided text, which version of Android introduced the restriction on idle applications accessing device sensors?	Android 8	Android 9	Android 10	Android 11	B
What is a potential benefit of starting a foreground service using the startForeground() API method?	The application will be killed by the low memory killer	The application will not have access to device sensors	The application will be able to run in the foreground and access device sensors	The application will be moved to the do-not-kill list	C
Which of the following MITRE ATT&CK techniques might be applicable in this scenario? T1074: (Windows) Resource Hijacking or T1159: (Android) Obfuscated Files or Code	T1074 – Windows – Resource Hijacking	T1159 – Android – Obfuscated Files or Code	T1003 – Credential Dumping	T1204 – Event Log Injection	B
What is a characteristic of symmetric encryption algorithms used by adversaries to conceal command and control traffic?	Asymmetric encryption algorithms use different keys for encryption and decryption.	Symmetric encryption algorithms use a different key for plaintext encryption and ciphertext decryption.	Symmetric encryption algorithms rely on communication protocol inherent protections.	Asymmetric encryption algorithms are prone to brute-force attacks.	B
Which of the following symmetric encryption algorithms is NOT mentioned in the text as being used by adversaries?	AES	Blowfish	RC4	Twofish	D
Why do adversaries may opt to use symmetric encryption algorithms instead of relying on communication protocol inherent protections?	To add an additional layer of authentication	To conceal command and control traffic	To enhance data integrity	To ensure stateless communication	B
Which of the following statements is true regarding symmetric encryption algorithms?	They are prone to man-in-the-middle attacks.	They use different keys for encryption and decryption.	They are intrinsically secure.	They are faster than asymmetric encryption algorithms.	D
What is common among the symmetric encryption algorithms mentioned in the text?	They are all asymmetric encryption algorithms	They are all block ciphers	They all use the same key for encryption and decryption	They all rely on communication protocol inherent protections	C
In this scenario, which MITRE ATT&CK pattern technique is being employed to steal data?	T1008 - Exfiltration Over Command and Control Channel	T1569 - Phishing	T1040 - Network Sniffing	T1130 - Remote File Copy	A
What is the method used to encode stolen data into the normal command and control channel?	Steganography	Encryption	Compression	Encoding using the same protocol as command and control communications	D
This intrusion technique is part of which MITRE ATT&CK tactic?	Lateral Movement	Command and Control	Application Access	Initial Access	B
What is the primary goal of this technique, according to MITRE ATT&CK?	Installing backdoors	Exfiltrating data	Disrupting operations	Installing malware	B
How does the adversary steal data, according to the provided information?	By accessing the targeted device's file system	By exploiting a vulnerability in the command and control channel	By sending the stolen data over a separate communication channel	By exfiltrating data over an existing command and control channel	D
Which Android permission is required for an application to create an overlay window on top of a running legitimate application?	WRITE_EXTERNAL_STORAGE	SYSTEM_ALERT_WINDOW	READ_PHONE_STATE	android.permission.STATUS_BAR	B
"According to the provided text, what is the expected outcome of an attack that uses the ""Adversaries display a prompt on top of a running, legitimate application"" technique?"	The user will not enter sensitive information	The user will be prompted for sensitive information, unaware of the malicious intent	The user will receive a warning about the malicious activity	The user's device will restart	B
Which mobile platform constraint may impair the ability of users to provide contextual information, making them more susceptible to attacks that mimic common operating system GUI components?	Constrained display size	Limited network connectivity	Limited processing power	No limitation in any of the above	A
What is one way an adversary can determine which application is currently in the foreground on an Android device, according to the text?	By analyzing the device's network traffic	By using the Android Accessibility Service	By querying the device's logcat	By monitoring the device's system logs	B
Which Android release plans to deprecate the SYSTEM_ALERT_WINDOW permission in favor of a new API?	Android 9	Android 10	Android 11	Android 12	B
An adversary seeks to bypass a mobile device's lockscreen by exploiting a vulnerability. Which technique ID and name would best describe this action?	T1091.001 - Password Cracking	T1595.001 - Malware Delivery	T1496.001 - Vulnerability Exploit	T1555.001 - External Remote Services	C
To bypass a mobile device's biometric authentication, an adversary could use what method?	Unlock code bypass	Biometric spoofing	Vulnerability exploit	Shoulder surfing	B
What measure do mobile OS vendors implement to mitigate an adversary's attempts to brute-force or guess the lockscreen passcode?	Incremental backoff timers after a set number of failed unlock attempts	A configurable full device wipe after several failed unlock attempts	Both A and B	Neither A nor B	C
Premise: MITRE ATT&CK, Mobile Platform Why would an adversary resort to shoulder surfing to observe a device owner's use of the lockscreen passcode?	To avoid fingerprinting software	To detect mobile device geolocation	To obtain the device owner's passcode	To steal device owner's email account	C
Premise: MITRE ATT&CK, Mobile Platform What happens to the vulnerability that is exploited to bypass the lockscreen, once it is disclosed to the device or OS vendor?	The vulnerability is patched, but the device remains vulnerable	The vulnerability is patched, and the device becomes non-vulnerable	The vulnerability is exploited further	The vulnerability is ignored	B
What is the primary goal of an Endpoint Denial of Service (DoS) attack?	To inject malware on target devices	To prevent authorized users from accessing devices	To steal sensitive information from compromised devices	To disable encryption on target devices	B
Which Android feature allows device management servers to reset the device lock passcode?	Device Administrator access	Profile Owner access	Device Owner access	Screen Lock access	C
On which Android versions can device administrators reset the device lock passcode?	Prior to Android 7	Android 7 and later	Android 8 and later	Android 9 and later	A
Why does this technique not work on non-jailbroken iOS devices?	Because mobile device management servers cannot reset the screen lock passcode	Because mobile device management servers cannot set a new passcode	Because iOS devices do not have a screen lock passcode	Because iOS devices are not compatible with this technique	B
What can malware do on jailbroken iOS devices to lock the user out?	Erase the device's data	Set a new passcode	Lock the user out of the device	Decrypt sensitive information	C
What is the primary goal of adversaries hijacking the execution flow of an operating system?	To inject malware into running processes	To maintain persistence on an infected device	To collect sensitive information from the compromised system	To disrupt system resource utilization	B
On Android, what technique do adversaries use to hook into core functions and achieve persistence?	Reusing Existing Capabilities	Overwriting the standard OS API library	Implementing Code Optimization Techniques	Leveraging Insecure Direct Object Reference	B
According to the text, what is the result of an adversary overwriting the standard OS API library on an Android device?	The overwritten API function is only executed once	The overwritten API function is executed every time a protected resources is accessed	The overwritten API function is executed every time the overwritten API function is called by an app	The overwritten API function is not executed at all	C
What is the purpose of hijacking execution flow in an operating system, as described in the text?	To gain escalated privileges	To maintain persistence on an infected device	To detect and respond to security threats	To monitor and analyze system events	B
According to the text, why do adversaries execute their own malicious payloads by hijacking execution flow?	To bypass security controls and gain unauthorized access	To execute code after exploiting a vulnerability	To maintain persistence on an infected device and reoccur at later points in time	To test the effectiveness of their malware	C
What is the primary mechanism used by the TCC daemon (tccd) to determine if a process has permission to access data or services protected by TCC?	TCC daemon monitors system logs for permission requests	TCC daemon checks the TCC database at /Library/Application Support/com.apple.TCC/TCC.db	TCC daemon verifies system configuration settings	TCC daemon uses system access control lists (ACLs)	B
What is an example of a privileged system application that has FDA permissions by default and can be used to execute malicious AppleScript without prompting the user?	Finder	Launchctl	tccd	AppleScript Editor	A
According to the text, how do adversaries manipulate the TCC database to grant their application TCC permissions?	By modifying the TCC daemon configuration	By using environment variables and Launchctl	By injecting code into targeted applications	By exploiting a vulnerability in the TCC daemon	B
What is an example of a malware technique mentioned in the text as a way for adversaries to inject code into targeted applications with desired TCC permissions?	Process Injection	Code Injection	Data Injection	System Injection	A
Which operating system feature is enabled by default that allows adversaries to manipulate the operating system to load an adversary-controlled TCC database using environment variables and Launchctl?	System Integrity Protection (SIP)	Application Sandbox	Protection Process	User Account Control	A
What type of adversary activity might involve searching for Wi-Fi information on compromised systems?	Execution	Credential Access	Discovery	Exfiltration	C
Why might adversaries use Wi-Fi information as part of Discovery or Credential Access activity?	To gather Intel on network topology	To access network resources	To support both ongoing and future campaigns	To conduct Post-Execution reconnaissance	C
Which MITRE ATT&CK technique ID for Initial Access, might include conducting network discovery, including searching for Wi-Fi information?	T1446	T1498	T1566	T1046	D
What can Wi-Fi information be used for in the context of Credential Access activity?	Stealing passwords	Hijacking connections	Unlocking restricted access	Bypassing firewalls	A
When might adversaries search for Wi-Fi information on compromised systems?	During Initial Access	During Command and Control	During Execution	After Disengagement	A
What technique does the adversary use to disguise a malicious application or executable in the ICS environment?	Spearphishing	Masquerading (T1003)	Supply Chain Compromise	Advanced Persistent Threat	B
What is the purpose of masquerading a malicious application or executable in the ICS environment?	To increase network traffic	To delay detection	To disguise the presence of the underlying malicious content	To disable security features	C
According to the text, what types of files can be impersonated for masquerading?	Only configuration files	Only commonly found programs	Commonly found programs, expected vendor executables, and configuration files	Only vendor-relevant files	C
In which environment is renaming a file to disguise it a common technique for masquerading?	Enterprise	ICS	Mobile	Cloud	B
What can operators and engineers potentially do when they run masquerading as legitimate functions?	They may accidentally execute the malicious content	They may recognize the file as malicious	They may ignore the file altogether	They may delete the file	A
What is the potential impact of an adversary causing a sustained or permanent loss of view in an ICS environment?	Elevation of privilege on a specific system	Denial of Service (DoS) on the ICS network	Loss of visibility into ICS operations, allowing for hiding of ongoing processes	Compromise of encryption keys used in ICS protocols	C
According to the provided text, what is the potential outcome of an adversary causing a sustained reporting or visibility loss in an ICS environment?	Immediate shutdown of the ICS equipment	Complete loss of access to the ICS network	Hiding of the present state of operations	Disruption of physical processes in the ICS system	C
Which MITRE ATT&CK pattern technique is related to an adversary's ability to hide the present state of operations by causing a sustained loss of view in an ICS environment?	T1074.001 - Account Discovery	T1210 - Exploitation of Remote Services	TA0045 - Lateral Movement through Remote Services	T1598.001 - Disabling Security Tools or Products on the ICS	D
What is the potential effect on ICS equipment operations if an adversary causes a sustained or permanent loss of view, requiring local, hands-on operator intervention?	Immediate restart of affected equipment	Corruption of data stored on affected equipment	Disruption of normal equipment operations	Complete shutdown of affected equipment	C
Which platform is most relevant to the discussion of an adversary causing a sustained or permanent loss of view in an ICS environment?	Enterprise	ICS	Mobile	All of the above	B
What is the primary method adversaries use to manipulate control system assets in ICS networks?	Lateral movement	Credential tampering	Command manipulation	Policy manipulation	C
What is the primary goal of an adversary activating firmware update mode on devices in an ICS environment?	To disable integrity checks and hide malicious firmware updates	To prevent expected response functions from engaging in reaction to an emergency or process malfunction	To bypass authentication mechanisms and gain remote access to the device	To execute arbitrary code within the firmware	B
What would happen to a device if no firmware is provided to it after leaving update mode?	The device would automatically revert to its default settings	The device would be placed in an inactive holding state	The device would be destroyed and require physical replacement	The device would restart and resume normal operation	B
Which of the following scenarios best illustrates the potential impact of an adversary entering a device in firmware update mode?	The device becomes a zombie botnet endpoint for launching attacks	The device is rendered inoperable, halting process monitoring and related functions	The device becomes compromised, allowing unauthorized access to system resources	The device is updated with the latest firmware version to improve performance	B
According to the text, what type of device may have an operation mode designed for firmware installation?	Protection relays	Network switches	Firewalls	Routers	A
What is the potential consequence of an adversary repeatedly entering and leaving a device in firmware update mode?	The device becomes more secure due to regular firmware updates	The device becomes vulnerable to unknown exploits	The device is denied its usual functionalities	The device is compromised with malware	C
What is the method by which adversaries gain access to industrial environments, as described in the text?	Through External Remote Services	Via Exploit Public-Facing Application	Through Internet Accessible Devices	Through Phishing Attacks	C
According to the text, what type of protections may be used for access to Internet Accessible Devices?	Strong encryption and two-factor authentication	Minimal legacy protections and built-in functions	Firewalls and intrusion detection systems	Antivirus software and host-based intrusion detection	B
Which of the following scenarios best describes how adversaries leveraged access to the Bowman dam control network, as described in the text?	They used a brute force attack against the application's password authentication	They exploited a vulnerability in the dam's control system	They gained access through a cellular modem with password authentication	They used a zero-day exploit for the Siemens S7 protocol	C
What type of access did adversaries leverage in Trend Micro's manufacturing deception operations, as described in the text?	Misconfigured VNC access	Exposure of operational protocols such as Siemens S7 and Omron FINS	Direct internet access through a cellular modem	Unpatched vulnerabilities in industrial control systems	B
How did adversaries detect Internet Accessible Devices with misconfigured VNC access in Trend Micro's manufacturing deception operations, as described in the text?	Through online scanning tools	Through network reconnaissance	Through social engineering tactics	Through incident response and threat hunting	A
A threat actor collects information about system process state. Which MITRE ATT&CK technique is most relevant to this action?	T1005 - Backup File System	T1027 - Remote Service Queries	T1036 - Network Service Scanning	T1033 - System Network Connections Discovery	D
What is a potential use case for gathered process state information?	To reconstruct system events	To identify rogue processes	To trigger malicious actions	To optimize system performance	C
Which of the following may be a source of process state information?	Application logs	PLC block information	Network traffic	All of the above	D
A threat actor gathers information about OPC tags to understand system activity. This activity most closely aligns with which MITRE ATT&CK technique?	T1075 - Scheduling	T1027 - Remote Service Queries	T1047 - Windows Remote Desktop	T1048 - Network Service Scan	B
Why might an adversary gather information about process state?	To disable system services	To identify system vulnerabilities	To gain more information about the process itself or trigger malicious actions	To perform system maintenance tasks	C
Which MITRE ATT&CK technique involves inhibiting access to accounts utilized by legitimate users by deleting, locking, or manipulating them?	T1078 - Account Management	T1003 - Credential Dumping	T1098 - Account Lockout	T1099 - Account Removal	A
What is a potential method used by adversaries to evade detection and network filtering, according to the text?	Abusing DNS tunneling to exfiltrate data	Embedding commands and results within application layer protocol traffic	Using a custom-built VPN to encrypt communications	Utilizing IP address spoofing to mask attack traffic	B
Which protocol(s) may be used by an adversary to communicate with systems within a victim's network, according to the text?	DNS and SMTP	HTTP/S and WebSocket	FTP and SSH	ICMP and ARP	B
What is a characteristic of HTTP/S packets that an adversary may exploit to conceal data, according to the text?	Limited packet size	Unique packet header structure	Presence of multiple fields and headers	Encryption using a custom cipher	C
What is a goal of an adversary using application layer protocols, according to the text?	To create a new connection-oriented network	To blend in with existing network traffic and avoid detection	To establish a secure shell connection	To perform man-in-the-middle attacks	B
What is an example of a common protocol mentioned in the text that can be used by an adversary to communicate with systems within a victim's network?	DNS	FTP	WebSocket	SSH	C
What is the primary objective of adversaries in targeting industrial control systems (ICS) in a sustained loss of control scenario?	Exfiltration of sensitive data	Disruption of production processes	Deployment of backdoor access	Uncontrolled shutdown of critical systems	D
According to the 2014 IT Security Report by the German Federal Office for Information Security (BSI), what was the outcome of the targeted attack on the steel mill?	Successful exfiltration of sensitive data	Temporary disruption of production processes	Runaway condition leading to uncontrolled shutdown	No significant impact on operations	C
What was the consequence of the breakdown of control system components and entire installations in the targeted attack on the steel mill?	Minimal financial losses	Loss of sensitive data	Uncontrolled shutdown of a blast furnace with resulting damage and unsafe conditions	Denial of Service (DoS) attack	C
Which MITRE ATT&CK pattern technique is the most relevant to the scenario described in the text?	T1078: Exploitation of Remote Services (Process Execution)	T1098: Spearphishing via Compromised Infrastructure	T1535: Use of Automation to Uninstall Unauthorized Software	T1234: Use of Elevated Privileges	A
What was the result of the breakdown of control system components and entire installations caused by the targeted attack on the steel mill?	System outage and loss of control for a short duration	Remote exploitation of vulnerabilities	Uncontrolled shutdown of a blast furnace with resulting damage and unsafe conditions	Malware injection	C
What type of values can adversaries collect as part of their reconnaissance activities, according to the text?	File hashes and registry keys	Point and tag values	Network traffic analytics and DNS data	System uptime and CPU utilization metrics	B
What is the purpose of assigning tags to points in the process environment, according to the text?	To anonymize point values for improved data confidentiality	To provide valuable context and enable mapping of inputs, outputs, and other values	To prioritize point collection based on perceived importance	To filter out irrelevant point values	B
Which MITRE ATT&CK pattern technique is the adversary's collection of point and tag values an example of?	T1567 - Process Discovery	T1620 - Horizontal Access	TA0025 - Execution	T1003 - Credential Dumping	A
According to the text, what benefit does collecting tags provide to an adversary?	It allows for lateral movement across the network	It enables an adversary to map inputs, outputs, and other values to their control processes	It provides real-time monitoring of process execution	It enables an adversary to create custom exploits	B
